,,,,,,,,,,
From,To,,,,,,,,,
9/12/2021 15:19,3/11/2022 14:19,,,,,,,,,
Material, Order, QSV, Lanes, No Of Rolls, Length, No Of Packs, No Of Rewinding Rolls , Potential Waste Length, POrder Due Date, Operation Due Date/Time
WIP Printing-Lamina,694624,B590-602-70,7,1,4897,180416,0,198,2/25/2022,2/25/2022
WIP Printing-Lamina,695088,B090-350-09,9,3,18534,1283124,0,30,3/14/2022,3/14/2022
WIP Printing-Lamina,0695089-C,B090-350-09,9,9,56101,3883916,0,838,3/15/2022,3/15/2022
WIP Printing-Lamina,0695090-C,B090-350-09,9,9,55626,3851031,0,1278,3/15/2022,3/15/2022
WIP Printing-Lamina,695091,B090-465-09,9,2,12385,643191,0,1,3/14/2022,3/14/2022
WIP Printing-Lamina,695100,B090-465-09,9,3,18238,947156,0,0,3/14/2022,3/14/2022
WIP Printing-Lamina,695296,B348-561-24,9,1,4651,226265,0,0,3/14/2022,3/14/2022
WIP Printing-Lamina,695298,B348-561-24,9,7,34868,1696280,0,2152,3/11/2022,3/11/2022
WIP Printing-Lamina,0695422-C,7555-617-70,7,7,39762,1575446,0,1423,3/11/2022,3/11/2022
WIP Printing-Lamina,695423,7555-617-70,7,1,5332,211264,0,709,3/11/2022,3/11/2022
WIP Printing-Lamina,695424,7555-617-70,7,1,5398,213879,0,0,3/11/2022,3/11/2022
WIP Printing-Lamina,0695428-C,B348-561-24,9,3,14700,715135,0,239,3/15/2022,3/15/2022
WIP Printing-Lamina,0695432-C,B348-561-24,9,3,14609,710709,0,128,3/15/2022,3/15/2022
WIP Printing-Lamina,695462,B090-813-61,5,3,12995,240649,0,25,3/15/2022,3/15/2022
WIP Printing-Lamina,695474,7555-617-70,7,1,5655,224062,0,1,3/11/2022,3/11/2022
WIP Printing-Lamina,695475,7555-617-70,7,2,11495,455453,0,31,3/11/2022,3/11/2022
WIP Printing-Lamina,695477,7555-617-70,7,1,5668,224577,0,0,3/14/2022,3/14/2022
WIP Printing-Lamina,0695484-C,7555-617-70,7,1,5784,229173,0,0,3/14/2022,3/14/2022
WIP Printing-Lamina,695487,7555-617-70,7,1,5678,224973,0,1,3/15/2022,3/15/2022
WIP Printing-Lamina,695488,7555-617-70,7,1,5678,224973,0,1,3/15/2022,3/15/2022
WIP Printing-Lamina,695489,7555-617-70,7,1,5631,223111,0,766,3/15/2022,3/15/2022
WIP Printing-Lamina,695496,B672-813-49,5,7,31153,576908,0,134,3/14/2022,3/14/2022
WIP Printing-Lamina,695535,B227-561-24,9,4,19977,971855,0,106,3/17/2022,3/17/2022
WIP Printing-Lamina,695536,B348-561-24,9,3,14769,718492,0,24,3/17/2022,3/17/2022
WIP Printing-Lamina,695537,B348-561-24,9,7,34432,1675070,0,2104,3/16/2022,3/16/2022
WIP Printing-Lamina,695538,B348-561-24,9,7,34337,1670449,0,832,3/16/2022,3/16/2022
WIP Printing-Lamina,0695543-C,B348-561-24,9,7,34577,1682123,0,1784,3/11/2022,3/11/2022
WIP Printing-Lamina,695615,B672-813-49,5,2,8833,163574,0,0,3/11/2022,3/11/2022
WIP Printing-Lamina,695616,B672-813-49,5,2,8890,164630,0,2,3/11/2022,3/11/2022
WIP Printing-Lamina,0695641-C,B672-813-49,5,1,4353,80611,0,0,3/11/2022,3/11/2022
WIP Printing-Lamina,0695665-C,B672-813-49,5,1,4409,81648,0,0,3/11/2022,3/11/2022
WIP Printing-Lamina,695667,B672-813-49,5,1,4464,82667,0,1,3/11/2022,3/11/2022
WIP Printing-Lamina,0695668-C,B672-813-49,5,1,4092,75778,0,0,3/11/2022,3/11/2022
WIP Printing-Lamina,0695671-C,B672-813-49,5,1,4415,81759,0,30,3/11/2022,3/11/2022
WIP Printing-Lamina,0695673-C,B672-813-49,5,5,22203,411167,0,2,3/11/2022,3/11/2022
WIP Printing-Lamina,0695675-C,B672-813-49,5,1,4393,81352,0,0,3/11/2022,3/11/2022
WIP Printing-Lamina,0695678-C,B672-813-49,5,1,4350,80556,0,0,3/11/2022,3/11/2022
WIP Printing-Lamina,0695680-C,B672-813-49,5,1,4387,81241,0,69,3/11/2022,3/11/2022
WIP Printing-Lamina,695711,B350-465-09,9,6,36853,1913890,0,278,3/14/2022,3/14/2022
WIP Printing-Lamina,695712,B350-465-09,9,6,37642,1954864,0,94,3/15/2022,3/15/2022
WIP Printing-Lamina,695717,7555-617-70,7,1,5660,224260,0,0,3/14/2022,3/14/2022
WIP Printing-Lamina,695718,7555-617-70,7,3,17341,687083,0,956,3/15/2022,3/15/2022
WIP Printing-Lamina,0695720-C,B348-561-24,9,2,9617,467855,0,1130,3/15/2022,3/15/2022
WIP Printing-Lamina,0695737-C,B672-813-49,5,17,75838,1404406,0,606,3/15/2022,3/15/2022
WIP Printing-Lamina,0695757-C,B227-561-24,9,3,14691,714697,0,7,3/16/2022,3/16/2022
WIP Printing-Lamina,0695759-C,B672-813-49,5,34,151106,2798262,0,1814,3/15/2022,3/15/2022
WIP Printing-Lamina,695894,B090-350-09,9,7,43634,3020815,0,1015,3/14/2022,3/14/2022
WIP Printing-Lamina,695930,B672-813-49,5,6,26523,491166,0,270,3/11/2022,3/11/2022
WIP Printing-Lamina,0695949-C,B672-813-49,5,10,44571,825389,0,15,3/15/2022,3/15/2022
WIP Printing-Lamina,0695950-C,B672-813-49,5,11,49014,907666,0,78,3/15/2022,3/15/2022
WIP Printing-Lamina,695979,B672-813-49,5,7,31235,578426,0,555,3/11/2022,3/11/2022
WIP Printing-Lamina,695996,B090-350-09,9,7,42666,2953800,0,1258,3/18/2022,3/18/2022
WIP Printing-Lamina,695997,B090-350-09,9,7,43466,3009183,0,1819,3/18/2022,3/18/2022
WIP Printing-Lamina,0696151-C,B090-350-09,9,7,43301,2997762,0,34,3/18/2022,3/18/2022
WIP Printing-Lamina,0696170-C,7555-617-70,7,1,5343,211700,0,30,3/16/2022,3/16/2022
WIP Printing-Lamina,696701,B090-465-09,9,2,12355,641633,0,4,3/15/2022,3/15/2022
WIP Printing-Lamina,0696799-C,B672-813-49,5,5,22373,414314,0,347,3/14/2022,3/14/2022
WIP Printing-Lamina,696814,B672-813-49,5,1,4058,75148,0,4,3/15/2022,3/15/2022
WIP Printing-Lamina,696846,B672-813-49,5,1,4441,82241,0,100,3/11/2022,3/11/2022
WIP Printing-Lamina,0696847-C,B672-813-49,5,1,4381,81130,0,1,3/11/2022,3/11/2022
WIP Printing-Lamina,0696868-C,B590-602-70,7,1,4916,181116,0,0,3/9/2022,3/9/2022
WIP Printing-Lamina,696891,7555-617-70,7,2,11423,452601,0,1114,3/11/2022,3/11/2022
WIP Printing-Lamina,696931,B672-813-49,5,1,4280,79259,0,0,3/15/2022,3/15/2022
WIP Printing-Lamina,696959,B672-813-49,5,1,4401,81500,0,3,3/11/2022,3/11/2022
WIP Printing-Lamina,0696968-C,B090-465-09,9,7,43117,2239197,0,52,3/11/2022,3/11/2022
WIP Printing-Lamina,0697115-C,B672-813-49,5,12,53478,990334,0,364,3/15/2022,3/15/2022
WIP Printing-Lamina,0697139-C,B090-350-09,9,1,4490,310846,0,20,3/7/2022,3/7/2022
WIP Printing-Lamina,697165,B090-350-09,9,2,12250,848077,0,1066,3/16/2022,3/16/2022
WIP Printing-Lamina,697166,B090-350-09,9,2,12054,834508,0,134,3/16/2022,3/16/2022
WIP Printing-Lamina,0697167-C,B090-350-09,9,2,12374,856662,0,161,3/16/2022,3/16/2022
WIP Printing-Lamina,697202,B090-B01-09,9,10,61820,3532572,0,15549,3/11/2022,3/11/2022
WIP Printing-Lamina,697203,B090-B01-09,9,7,43777,2501544,0,60,3/11/2022,3/11/2022
WIP Printing-Lamina,697204,B090-B01-09,9,4,23978,1370171,0,197,3/11/2022,3/11/2022
WIP Printing-Lamina,697205,B090-B01-09,9,7,42895,2451143,0,168,3/11/2022,3/11/2022
WIP Printing-Lamina,0697207-C,B090-B01-09,9,22,136409,7794801,0,9604,3/11/2022,3/11/2022
WIP Printing-Lamina,697209,B090-B01-09,9,3,17487,999257,0,127,3/11/2022,3/11/2022
WIP Printing-Lamina,697211,B090-B01-09,9,7,42844,2448229,0,2275,3/11/2022,3/11/2022
WIP Printing-Lamina,697212,B090-B01-09,9,7,43367,2478113,0,334,3/11/2022,3/11/2022
WIP Printing-Lamina,0697231-C,B090-465-09,9,2,12421,645060,0,31,3/10/2022,3/10/2022
WIP Printing-Lamina,0697244-C,B090-465-09,9,2,12512,649786,0,249,3/10/2022,3/10/2022
WIP Printing-Lamina,0697245-C,B090-465-09,9,1,6022,312741,0,339,3/10/2022,3/10/2022
WIP Printing-Lamina,0697250-C,B090-465-09,9,2,12278,637634,0,0,3/10/2022,3/10/2022
WIP Printing-Lamina,0697266-C,B090-813-61,5,1,4109,76093,0,42,3/11/2022,3/11/2022
WIP Printing-Lamina,0697269-C,B090-813-61,5,1,4293,79500,0,81,3/11/2022,3/11/2022
WIP Printing-Lamina,0697272-C,B090-813-61,5,1,4098,75889,0,129,3/11/2022,3/11/2022
WIP Printing-Lamina,0697274-C,B090-813-61,5,2,8757,162167,0,896,3/11/2022,3/11/2022
WIP Printing-Lamina,0697276-C,B090-813-61,5,1,4041,74833,0,462,3/11/2022,3/11/2022
WIP Printing-Lamina,0697284-C,B590-602-70,7,19,95376,3513853,0,259,3/11/2022,3/11/2022
WIP Printing-Lamina,697315,B590-602-70,7,10,49874,1837463,0,168,3/11/2022,3/11/2022
WIP Printing-Lamina,0697316-C,B590-602-70,7,19,94112,3467284,0,722,3/11/2022,3/11/2022
WIP Printing-Lamina,697332,B090-465-09,9,1,6121,317882,0,1,3/11/2022,3/11/2022
WIP Printing-Lamina,697333,B090-465-09,9,1,6170,320427,0,1,3/11/2022,3/11/2022
WIP Printing-Lamina,0697337-C,B672-813-49,5,5,21603,400056,0,3,3/14/2022,3/14/2022
WIP Printing-Lamina,0697345-C,B672-813-49,5,1,4428,82000,0,1488,3/14/2022,3/14/2022
WIP Printing-Lamina,697626,B090-350-09,9,1,6123,423900,0,172,3/15/2022,3/15/2022
WIP Printing-Lamina,697703,B672-813-49,5,1,4445,82315,0,0,3/11/2022,3/11/2022
WIP Printing,0695128-C,B090-465-09,9,1,2626,136376,0,466,3/11/2022,3/11/2022
WIP Printing,0695404-C,B590-602-70,7,1,4974,183253,0,1272,2/2/2022,2/2/2022
WIP Printing,0695516-C,B090-465-09,9,1,5085,264080,0,152,3/3/2022,3/3/2022
WIP Printing,695587,B090-B01-09,9,1,6150,351429,0,0,2/11/2022,2/11/2022
WIP Printing,695803,9921-602-99,7,2,1052,38757,0,0,2/14/2022,2/14/2022
WIP Printing,0695903-C,B090-465-09,9,5,30868,1603070,0,81,3/22/2022,3/22/2022
WIP Printing,696216,B590-602-70,7,1,5159,190068,0,187,2/23/2022,2/23/2022
WIP Printing,696416,B590-602-70,7,1,4890,180158,0,279,3/4/2022,3/4/2022
WIP Printing,0697285-C,B672-813-49,5,3,13431,248722,0,27,3/14/2022,3/14/2022
WIP Printing,697322,C363-350-09,9,1,3774,261277,0,0,3/11/2022,3/11/2022
WIP Printing,697627,C363-350-09,9,1,2163,149746,0,0,3/18/2022,3/18/2022
WIP Printing,697705,C363-350-09,9,2,12483,864208,0,1470,3/18/2022,3/18/2022
,,,,,,,,,,
